title:Meditation, start timestamp:1583521498.648371, stop timestamp:1583521564.628264, headset type:INSIGHT, headset serial:A1D2068CFA, headset firmware:930, subject name:Corey, channels:31, sampling rate:eeg_128;mot_64, samples:8464      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1583521502.304774,48.000000,0.000000,4316.922852,4309.743652,4188.205078,4047.179443,4067.692383,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,24.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.312670,49.000000,0.000000,4294.871582,4313.846191,4175.897461,4045.128174,4049.743652,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.320567,50.000000,0.000000,4276.410156,4317.948730,4147.179688,4039.487061,4027.692383,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,25.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.328462,51.000000,0.000000,4241.538574,4299.487305,4127.179688,4041.025635,3993.333252,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.336160,52.000000,0.000000,4220.512695,4291.282227,4118.461426,4035.897461,3978.974365,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,26.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.344057,53.000000,0.000000,4218.461426,4291.282227,4107.692383,4032.820557,3978.461426,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.351954,54.000000,0.000000,4222.563965,4291.282227,4096.922852,4035.384521,3979.487061,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,27.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.359851,55.000000,0.000000,4209.743652,4283.077148,4090.256348,4038.974365,3963.076904,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.367548,56.000000,0.000000,4206.666504,4291.282227,4102.563965,4045.641113,3954.358887,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,28.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.875013,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.375445,57.000000,0.000000,4211.282227,4293.333496,4115.384766,4046.666748,3950.256348,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.383141,58.000000,0.000000,4211.794922,4285.128418,4114.871582,4046.153809,3941.025635,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,29.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.875013,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.390837,59.000000,0.000000,4200.512695,4276.922852,4112.820313,4038.461426,3919.487061,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.398533,60.000000,0.000000,4193.846191,4285.128418,4126.666504,4042.564209,3909.230713,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,30.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.406228,61.000000,0.000000,4185.128418,4283.077148,4121.538574,4040.512939,3897.948730,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.413925,62.000000,0.000000,4178.461426,4278.974121,4101.538574,4044.102539,3879.487061,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,31.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.421822,63.000000,0.000000,4176.922852,4281.025879,4095.897461,4042.051270,3879.487061,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.429519,64.000000,0.000000,4164.102539,4281.025879,4102.563965,4040.512939,3876.410156,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,32.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.062501,-76.563667,-76.563667,38.281834
1583521502.437415,65.000000,0.000000,4152.307617,4274.871582,4087.692383,4021.025635,3845.128174,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.445112,66.000000,0.000000,4150.769043,4270.769043,4071.794922,4016.410156,3808.718018,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,33.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.875013,-0.531258,-0.062501,-76.563667,-76.563667,38.281834
1583521502.453008,67.000000,0.000000,4161.538574,4287.179688,4078.461426,4026.666748,3807.179443,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.460705,68.000000,0.000000,4165.128418,4297.436035,4086.153809,4034.871826,3802.564209,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,34.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.875013,-0.500008,-0.031250,-76.563667,-76.563667,38.281834
1583521502.468601,69.000000,0.000000,4167.692383,4291.282227,4084.102539,4028.205078,3784.102539,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
